,fetal_skin_n,fetal_skin_p,fetal_skin_l,organoid_n,organoid_p,organoid_l
293,HCK,0.0,7.9893045,AES,0.0,0.9584642
294,SRSF7,0.0,0.86132276,SLC44A1,0.0,1.5755283
295,NFKBID,0.0,2.6824045,TMEM45A,0.0,1.1892588
296,SULT1E1,0.0,2.34666,TM7SF2,0.0,2.1429915
297,MAN2B1,0.0,3.2813373,MEIS2,0.0,1.2999157
298,HMOX1,0.0,3.2310252,EMILIN1,0.0,1.177954
299,HLA-DRB5,0.0,6.9090934,KLF5,0.0,2.5798247
300,GDI1,0.0,1.4573512,TFAP2A,0.0,2.5997534
301,MAPRE2,0.0,1.8105288,FXYD3,0.0,4.315478
302,ZC3H11A,0.0,1.770854,C8orf82,0.0,2.77227
303,CKS2,0.0,1.4846298,DSC3,0.0,4.2192616
304,HOXC9,0.0,5.236592,S100A2,0.0,4.640514
305,HOXB-AS3,0.0,6.535839,KMT2A,0.0,1.1237028
306,DNAJB4,0.0,1.4513221,EIF4A2,0.0,0.5709139
307,LY86,0.0,4.927732,GOLGB1,0.0,1.0173784
308,NCF2,0.0,7.4103727,NT5DC2,0.0,1.3730466
309,DOCK2,0.0,8.556236,VAMP2,0.0,0.89774054
310,C1orf162,0.0,4.8459325,HES4,0.0,1.9429333
311,CAT,0.0,1.3142029,MAB21L2,0.0,5.297508
312,SEC13,0.0,1.0565274,GNAI2,0.0,0.8821242
313,SNRPD2,0.0,0.65681946,AKT1,0.0,1.5619378
314,CARD16,0.0,2.3008196,PRDX2,0.0,0.6697709
315,MNDA,0.0,11.685308,SCD,0.0,1.7556181
316,LGMN,0.0,1.6978068,PKP3,0.0,5.092738
317,HOXC10,0.0,7.0228977,FGF11,0.0,3.5209546
318,TMEM258,0.0,0.7223172,DSTN,0.0,0.6745653
319,CNN2,0.0,1.1432251,TMEM54,0.0,2.5466585
320,ZC3HAV1,0.0,1.9211594,DEAF1,0.0,2.1088452
321,MAT2B,0.0,1.7187412,FLRT3,0.0,1.4143794
322,HLA-DPA1,0.0,4.4198165,ARMC10,0.0,1.6303749
323,CDK2AP2,0.0,1.6983925,FOXD1,0.0,3.265046
324,STX11,0.0,5.435811,TM9SF3,0.0,1.0927455
325,NAAA,0.0,2.5404549,EID2,0.0,3.060153
326,ADGRE5,0.0,2.2352877,RPS7,0.0,0.3097026
327,NT5E,0.0,3.2332938,TSPO,0.0,0.78020906
328,SPRY1,0.0,1.4606404,RCOR1,0.0,1.6110445
329,PARVG,0.0,6.5725827,MGP,0.0,1.3695465
330,RNASEH2A,0.0,2.2466853,PGF,0.0,2.2041414
331,VSIG4,0.0,13.830913,CSAD,0.0,1.5600247
332,RALY,0.0,0.9602286,PGP,0.0,2.4638598
333,RASD1,0.0,2.9830801,NFIX,0.0,1.2253686
334,BST2,0.0,2.3876061,GATAD1,0.0,1.6873218
335,SYK,0.0,5.0843945,HNRNPD,0.0,0.80126286
336,S100A4,0.0,1.0651687,RUNX2,0.0,2.7916427
337,CD86,0.0,7.8578653,DSP,0.0,2.571218
338,TRAPPC5,0.0,3.814041,FAM213A,0.0,1.0127392
339,HIGD2A,0.0,0.80160505,JDP2,0.0,2.1443417
340,CD7,0.0,3.9690554,NPW,0.0,2.769245
341,PPP1R18,0.0,1.545183,CTDNEP1,0.0,1.086196
342,MGAT1,0.0,1.26079,SHC2,0.0,2.584514
343,MIR4435-2HG,0.0,2.8275957,CD24,0.0,1.8177211
344,GALNT16,0.0,3.1122715,CXADR,0.0,2.347069
345,PRKCB,0.0,5.7508903,SRP19,0.0,1.3342115
346,JAML,0.0,7.987342,CDV3,0.0,1.1888032
347,S100A9,0.0,3.9344573,PKIB,0.0,2.301621
348,EVI2A,0.0,5.707702,PDCD2,0.0,1.3356624
349,HBA2,0.0,10.984635,SMARCD3,0.0,1.5464505
350,PDK4,0.0,4.2464995,RPL23A,0.0,0.3580496
351,EEF2,0.0,0.5203896,CHPT1,0.0,1.903221
352,NOP10,0.0,0.81609684,ZRANB2,0.0,0.9035702
353,NCF1,0.0,6.87093,SEMA3A,0.0,1.7804409
354,LYZ,0.0,8.491111,SQLE,0.0,1.1123857
355,RSU1,0.0,1.3058366,LRRC75A,0.0,2.0035872
356,CD4,0.0,3.031667,MAB21L1,0.0,2.9320436
357,ADAP2,0.0,5.260861,ANGPTL6,0.0,4.9465814
358,RASSF2,0.0,3.0891228,VWA1,0.0,2.465286
359,PLBD1,0.0,2.4002445,DOK6,0.0,3.5570529
360,CPQ,0.0,1.5267618,TEN1,0.0,5.4713154
361,DHRS4,0.0,1.8191377,APOPT1,0.0,1.2283661
362,ARHGAP9,0.0,5.9803114,IRX2,0.0,1.5263
363,COTL1,0.0,1.8011484,RRP36,0.0,2.0319605
364,MFAP2,0.0,1.0110407,ABHD17A,0.0,1.2705144
365,IKZF1,0.0,8.185419,FAM50A,0.0,1.3917531
366,HAUS4,0.0,2.225605,RPL27A,0.0,0.54575443
367,RPL37,0.0,0.38647324,MRPL20,0.0,0.76488864
368,BIN2,0.0,5.7222066,MORC4,0.0,1.7472837
369,ANXA11,0.0,1.1788428,HAPLN1,0.0,3.3728926
370,LILRB5,0.0,10.928368,BEX2,0.0,2.0290456
371,IL10RB,0.0,2.2644796,APCDD1,0.0,1.1701493
372,CYB5R3,0.0,1.0340006,ARL3,0.0,0.9049031
373,TPM3,0.0,0.9107547,RRAS,0.0,1.576841
374,HLA-DMB,0.0,8.052918,RAB25,0.0,3.099816
375,SELPLG,0.0,6.5912476,CSNK2A1,0.0,1.0984235
376,RNASET2,0.0,1.3267102,BORCS7,0.0,1.1652863
377,RPL39,0.0,0.3485885,C11orf58,0.0,0.5864768
378,LAT2,0.0,5.907438,LTBP1,0.0,1.2135066
379,YWHAZ,0.0,0.73490405,FGFR3,0.0,4.194419
380,CLEC3B,0.0,8.5084715,LDHA,0.0,0.7130506
381,EIF5A,0.0,0.94262695,ZNF579,0.0,2.7596846
382,LY96,0.0,3.0538554,TET1,0.0,1.3733308
383,TNFRSF14,0.0,2.611484,ACAN,0.0,3.3425083
384,HOXA10,0.0,4.744048,ANKRD12,0.0,0.8620328
385,PAGR1,0.0,4.094545,CLTB,0.0,1.0979084
386,VAMP8,0.0,1.5806087,DACT3,0.0,1.9659716
387,ABHD16A,0.0,4.633964,CCNB1IP1,0.0,0.93689144
388,PPP1CA,0.0,0.94913685,TRIM28,0.0,0.9913924
389,PTPN6,0.0,3.0511482,BNC2,0.0,1.6872709
390,OST4,0.0,0.57404846,PTCH1,0.0,1.6480125
391,CMTM6,0.0,1.0888293,IRX5,0.0,2.0959759
392,C5AR1,0.0,6.3616233,CACNA2D1,0.0,1.9364853
393,GATM,0.0,2.5924704,ODF2L,0.0,1.0231735
394,ZFAND2A,0.0,1.8873813,MSX1,0.0,2.6270595
395,AGR2,0.0,2.9534347,LGALS7B,0.0,4.2545557
396,FCGRT,0.0,0.83264315,ZFYVE16,0.0,1.1428088
397,C3AR1,0.0,9.803111,C5orf38,0.0,1.8666646
398,TBCE,0.0,26.019423,FGFBP2,0.0,2.738849
399,NKG7,0.0,12.057198,ZNF787,0.0,2.3983665
400,CD300A,0.0,5.4520416,NEDD8,0.0,0.5971033
